image,prompt
sucrose.png,"Sucrose, a 4-star Anemo Catalyst from Genshin Impact. An alchemist filled with curiosity about all things. She researches bio-alchemy."
chevreuse.png,"Chevreuse, a 4-star Pyro Polearm from Genshin Impact. The captain of the Special Security and Surveillance Patrol, who wears justice as an ever-present seal upon her heart. Her musket shall only ever point at the guilty."
kachina.png,"Kachina, a 4-star Geo Polearm from Genshin Impact. Bearing the Ancient Name of ""Uthabiti"", Kachina is a young warrior belonging to the Children of Echoes who is determined to become strong in spite of the numerous failures she has experienced."
sethos.png,"Sethos, a 4-star Electro Bow from Genshin Impact. The Temple of Silence's heir. Burdened with secrets, he comes from the sands."
aloy.png,"Aloy, a 5-star Cryo Bow from Genshin Impact. "
yoimiya.png,"Yoimiya, a 5-star Pyro Bow from Genshin Impact. Owner of Naganohara Fireworks. Known as the ""Queen of the Summer Festival,"" she excels in her craft of creating fireworks that symbolize people's hopes and dreams."
xianyun.png,"Xianyun, a 5-star Anemo Catalyst from Genshin Impact. One of the Mighty and Illuminated Adepti of Jueyun, known as ""Cloud Retainer."" Expert in all kinds of mechanical contraptions, her heart now turns towards the affairs of the mortal world, through which she walks under the name ""Xianyun."""
xiao.png,"Xiao, a 5-star Anemo Polearm from Genshin Impact. A yaksha adeptus that defends Liyue. Also heralded as the ""Conqueror of Demons"" and ""Vigilant Yaksha."""
razor.png,"Razor, a 4-star Electro Claymore from Genshin Impact. A boy who lives among the wolves in Wolvendom of Mondstadt, away from human civilization. As agile as lightning."
thoma.png,"Thoma, a 4-star Pyro Polearm from Genshin Impact. The housekeeper of the Yashiro Commission's Kamisato Clan, and a well-known ""fixer"" in Inazuma.
Friendly and approachable, Thoma fits in with the crowd easily wherever he is.
At first glance, he seems to be a very easygoing person, but he is in fact very responsible. He has an extraordinarily serious side, be it in his work or his interpersonal communications."
gaming.png,"Gaming, a 4-star Pyro Claymore from Genshin Impact. Guard of the Sword and Strongbox Secure Transport Agency, and the head of the ""Mighty Mythical Beasts"" Wushou troupe."
emilie.png,"Emilie, a 5-star Dendro Polearm from Genshin Impact. A Fontainian perfumer, one who bottles secrets."
diona.png,"Diona, a 4-star Cryo Bow from Genshin Impact. A young lady who has inherited trace amounts of non-human blood. She is the incredibly popular bartender of the Cat's Tail tavern."
fischl.png,"Fischl, a 4-star Electro Bow from Genshin Impact. A mysterious girl who calls herself ""Prinzessin der Verurteilung"" and travels with a night raven named Oz."
sara.png,"Kujou Sara, a 4-star Electro Bow from Genshin Impact. A general of the Tenryou Commission. Bold, decisive, and skilled in battle."
keqing.png,"Keqing, a 5-star Electro Sword from Genshin Impact. The Yuheng of the Liyue Qixing. Has much to say about Rex Lapis' unilateral approach to policymaking in Liyue - but in truth, gods admire skeptics such as her quite a lot."
yun-jin.png,"Yun Jin, a 4-star Geo Polearm from Genshin Impact. A renowned Liyue opera singer who is skilled in both playwriting and singing. Her style is one-of-a-kind, exquisite and delicate, much like the person herself."
ayaka.png,"Kamisato Ayaka, a 5-star Cryo Sword from Genshin Impact. Daughter of the Yashiro Commission's Kamisato Clan. Dignified and elegant, as well as wise and strong."
wriothesley.png,"Wriothesley, a 5-star Cryo Catalyst from Genshin Impact. Duke of the Fortress of Meropide, Lord Incognito of the murky depths."
shenhe.png,"Shenhe, a 5-star Cryo Polearm from Genshin Impact. An adepti disciple with a most unusual air about her. Having spent much time cultivating in isolation in Liyue's mountains, she has become every bit as cool and distant as the adepti themselves."
barbara.png,"Barbara, a 4-star Hydro Catalyst from Genshin Impact. Every denizen of Mondstadt adores Barbara. However, she learned the word ""idol"" from a magazine."
beidou.png,"Beidou, a 4-star Electro Claymore from Genshin Impact. Captain of her crew, The Crux. She's quite an unbound and forthright woman."
ningguang.png,"Ningguang, a 4-star Geo Catalyst from Genshin Impact. The Tianquan of Liyue Qixing. Her wealth is unsurpassed in all of Teyvat."
rosaria.png,"Rosaria, a 4-star Cryo Polearm from Genshin Impact. A sister of the church, though you wouldn't know it if it weren't for her attire. Known for her sharp, cold words and manner, she often works alone."
dori.png,"Dori, a 4-star Electro Claymore from Genshin Impact. An elusive merchant who has a fondness for glittering Mora."
neuvillette.png,"Neuvillette, a 5-star Hydro Catalyst from Genshin Impact. The Chief Justice of Fontaine, known as the Iudex, is renowned for his unassailable impartiality."
klee.png,"Klee, a 5-star Pyro Catalyst from Genshin Impact. An explosives expert and a regular at the Knights of Favonius' confinement room. Also known as Fleeing Sunlight."
sigewinne.png,"Sigewinne, a 5-star Hydro Bow from Genshin Impact. A Melusine and the Fortress of Meropide's head nurse. She cares equally for every convict locked in the undersea prison."
kinich.png,"Kinich, a 5-star Dendro Claymore from Genshin Impact. He is the representative of the Scions of the Canopy and is accompanied by the self-proclaimed ""Almighty Dragonlord"" K'uhul Ajaw."
albedo.png,"Albedo, a 5-star Geo Sword from Genshin Impact. A genius known as the Kreideprinz, he is the Chief Alchemist and Captain of the Investigation Team of the Knights of Favonius."
xinyan.png,"Xinyan, a 4-star Pyro Claymore from Genshin Impact. Liyue's sole rock 'n' roll musician. She rebels against ossified prejudices using her music and passionate singing."
arataki-itto.png,"Arataki Itto, a 5-star Geo Claymore from Genshin Impact. The first and greatest head of the Arataki Gang, famed throughout Inazuma City's Hanamizaka... Wait, what? You've never heard of them? Are you trying to be funny here?"
eula.png,"Eula, a 5-star Cryo Claymore from Genshin Impact. The Spindrift Knight, a scion of the old aristocracy, and the Captain of the Knights of Favonius Reconnaissance Company. The reason for which a descendant of the ancient nobles might join the Knights remains a great mystery in Mondstadt to this very day."
nilou.png,"Nilou, a 5-star Hydro Sword from Genshin Impact. The star of the Zubayr Theater. She is full of warmth and innocence, and her dances are lively and elegant."
chongyun.png,"Chongyun, a 4-star Cryo Claymore from Genshin Impact. A young exorcist from a family of exorcists. He does everything he can to suppress his abundance of yang energy."
dehya.png,"Dehya, a 5-star Pyro Claymore from Genshin Impact. A member of the Eremites, a mercenary organization that roams the sands of Sumeru. Valiant and powerful, she enjoys great fame amongst her fellow Eremites."
collei.png,"Collei, a 4-star Dendro Bow from Genshin Impact. Oh, you're going to Sumeru? Can you give my regards to Collei? Well... it's been so long, I wonder if her hair has grown out and if she's taller?
— Amber"
bennett.png,"Bennett, a 4-star Pyro Sword from Genshin Impact. A righteous and good-natured adventurer from Mondstadt who's unfortunately extremely unlucky."
qiqi.png,"Qiqi, a 5-star Cryo Sword from Genshin Impact. An apprentice and herb gatherer at Bubu Pharmacy. An undead with a bone-white complexion, she seldom has much in the way of words or emotion."
kaveh.png,"Kaveh, a 4-star Dendro Claymore from Genshin Impact. A renowned architect from Sumeru who perhaps cares a bit too much about too many things. He is an aesthete troubled by reality."
noelle.png,"Noelle, a 4-star Geo Claymore from Genshin Impact. A maid who faithfully serves the Knights of Favonius that dreams of joining their ranks someday."
ayato.png,"Kamisato Ayato, a 5-star Hydro Sword from Genshin Impact. The young but highly accomplished head of the Yashiro Commisson's Kamisato Clan. Cultured and polite, he is a man of many ways and means."
xingqiu.png,"Xingqiu, a 4-star Hydro Sword from Genshin Impact. A young man carrying a longsword who is frequently seen at book booths. He has a chivalrous heart and yearns for justice and fairness for all."
yaoyao.png,"Yaoyao, a 4-star Dendro Polearm from Genshin Impact. Streetward Rambler's youngest disciple. A gentle and caring “little adult.”"
shikanoin-heizou.png,"Shikanoin Heizou, a 4-star Anemo Catalyst from Genshin Impact. A young prodigy detective from the Tenryou Commission. His senses are sharp and his thoughts are clear."
charlotte.png,"Charlotte, a 4-star Cryo Catalyst from Genshin Impact. Indefatigable reporter of The Steambird, constantly on the hunt for the ""truth."""
mualani.png,"Mualani, a 5-star Hydro Catalyst from Genshin Impact. Being a guide, a surfer, and a watersports shop owner for the People of the Springs, Mualani is an active and sweet person, who is always able to satisfy her clients."
amber.png,"Amber, a 4-star Pyro Bow from Genshin Impact. Always energetic and full of life, Amber's the best - albeit only - Outrider of the Knights of Favonius."
chiori.png,"Chiori, a 5-star Geo Sword from Genshin Impact. The owner of Chioriya Boutique. A tailor renowned throughout Fontaine."
layla.png,"Layla, a 4-star Cryo Sword from Genshin Impact. A Rtawahist student who specializes in Theoretical Astrology. Heavily prone to somnambulism and locked in a grinding war with sleep deprivation, the problem of restful slumber is a most troubling one to her."
yelan.png,"Yelan, a 5-star Hydro Bow from Genshin Impact. A mysterious person who claims to work for the Ministry of Civil Affairs, but is a ""non-entity"" on the Ministry of Civil Affairs' list."
traveler-hydro.png,"Traveler, a 5-star Hydro Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
nahida.png,"Nahida, a 5-star Dendro Catalyst from Genshin Impact. A caged bird secluded within the confines of the Sanctuary of Surasthana who can only see the world in her dreams."
clorinde.png,"Clorinde, a 5-star Electro Sword from Genshin Impact. An undefeated Champion Duelist. Sword in hand, she defends justice in the Court of Fontaine."
kuki-shinobu.png,"Kuki Shinobu, a 4-star Electro Sword from Genshin Impact. The capable and reliable deputy leader of the ""Arataki Gang."" Please note: capable and reliable are not appellations for the ""Arataki Gang,"" but for their deputy leader in specific."
mika.png,"Mika, a 4-star Cryo Polearm from Genshin Impact. A young knight born to an ordinary family. He serves as a Front-Line Surveyor in his Company. He is a low-key and cautious character."
traveler-anemo.png,"Traveler, a 5-star Anemo Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
xiangling.png,"Xiangling, a 4-star Pyro Polearm from Genshin Impact. A renowned chef from Liyue. She's extremely passionate about cooking and excels at making her signature hot and spicy dishes."
raiden.png,"Raiden Shogun, a 5-star Electro Polearm from Genshin Impact. Her Excellency, the Almighty, Narukami Ogosho, who promised the people of Inazuma an unchanging Eternity."
yanfei.png,"Yanfei, a 4-star Pyro Catalyst from Genshin Impact. A well-known legal adviser active in Liyue Harbor. A brilliant young lady in whose veins runs the blood of an illuminated beast."
lisa.png,"Lisa, a 4-star Electro Catalyst from Genshin Impact. The languid but knowledgeable Librarian of the Knights of Favonius who was deemed by Sumeru Academia to be their most distinguished graduate in the past two centuries."
venti.png,"Venti, a 5-star Anemo Bow from Genshin Impact. One of the many bards of Mondstadt, who freely wanders the city's streets and alleys."
traveler-dendro.png,"Traveler, a 5-star Dendro Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
kokomi.png,"Sangonomiya Kokomi, a 5-star Hydro Catalyst from Genshin Impact. The Divine Priestess of Watatsumi Island. All of the island's affairs are at this young lady's fingertips."
mona.png,"Mona, a 5-star Hydro Catalyst from Genshin Impact. A mysterious young astrologer who proclaims herself to be ""Astrologist Mona Megistus,"" and who possesses abilities to match the title. Erudite, but prideful."
arlecchino.png,"Arlecchino, a 5-star Pyro Polearm from Genshin Impact. ""The Knave,"" Fourth of the Fatui Harbingers. A poised, ruthless diplomat. To the children in the House of the Hearth, she is their feared yet dependable ""Father."""
zhongli.png,"Zhongli, a 5-star Geo Polearm from Genshin Impact. A mysterious expert contracted by the Wangsheng Funeral Parlor. Extremely knowledgeable in all things."
lynette.png,"Lynette, a 4-star Anemo Sword from Genshin Impact. A magic assistant of few words, her emotions are as inscrutable as any cat's."
traveler-geo.png,"Traveler, a 5-star Geo Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
traveler-electro.png,"Traveler, a 5-star Electro Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
sayu.png,"Sayu, a 4-star Anemo Claymore from Genshin Impact. A pint-sized ninja attached to the Shuumatsuban, who always seems to be lacking sleep."
yae-miko.png,"Yae Miko, a 5-star Electro Catalyst from Genshin Impact. Lady Guuji of the Grand Narukami Shrine. Also serves as the editor-in-chief of Yae Publishing House. Unimaginable intelligence and cunning are hidden under her beautiful appearance."
gorou.png,"Gorou, a 4-star Geo Bow from Genshin Impact. The great general of Watatsumi Island's forces. He is deeply trusted by his subordinates."
furina.png,"Furina, a 5-star Hydro Sword from Genshin Impact. The absolute focus of the stage of judgment, until the final applause sounds."
cyno.png,"Cyno, a 5-star Electro Polearm from Genshin Impact. The General Mahamatra of the Akademiya, leader of all the Matras. He has a unique sense of humor that never fails to leave a deep impression."
baizhu.png,"Baizhu, a 5-star Dendro Catalyst from Genshin Impact. The owner of Bubu Pharmacy, who is rarely seen without the white snake named Changsheng. His medicinal knowledge is encyclopedic, and his personal intrigues subtle."
kaeya.png,"Kaeya, a 4-star Cryo Sword from Genshin Impact. An accomplished swordsman and a strategic thinker in the Knights of Favonius, rumored to hail from beyond Mondstadt."
navia.png,"Navia, a 5-star Geo Claymore from Genshin Impact. The current President of Spina di Rosula, who is lovely, dutiful, and a great boss."
jean.png,"Jean, a 5-star Anemo Sword from Genshin Impact. The righteous and rigorous Dandelion Knight, and Acting Grand Master of Mondstadt's Knights of Favonius"
faruzan.png,"Faruzan, a 4-star Anemo Bow from Genshin Impact. A researcher from 'one hundred years ago'. She enjoys self-identifying as everyone's senior, and has significant knowledge of ancient scripts and machines of all kinds."
wanderer.png,"Wanderer, a 5-star Anemo Catalyst from Genshin Impact. A wayfaring figure whose identity is a mystery. He dresses like a mountain ascetic, but he certainly does not act the part. "
kazuha.png,"Kaedehara Kazuha, a 5-star Anemo Sword from Genshin Impact. If one's heart is empty, all under heaven is empty. But if one's heart is pure, all under heaven is pure."
candace.png,"Candace, a 4-star Hydro Polearm from Genshin Impact. A descendant of King Deshret with an amber left eye. The defender of Aaru Village."
tighnari.png,"Tighnari, a 5-star Dendro Bow from Genshin Impact. ""A message for you. I brought back a specialty from the desert, two packs of honeyed dates, which helps to replenish your energy, whether in the morning or at night. Thank you for your patience in teaching and taking care of Collei. Good luck with your work and best wishes for Collei's studies.""
—An anonymously written message left inside a candy box, placed on the watcher's table."
hu-tao.png,"Hu Tao, a 5-star Pyro Polearm from Genshin Impact. The 77th Director of the Wangsheng Funeral Parlor. She took over the business at a rather young age."
kirara.png,"Kirara, a 4-star Dendro Sword from Genshin Impact. A courier for Komaniya Express, a delivery company in Inazuma. A nekomata who loves her job and human society."
alhaitham.png,"Alhaitham, a 5-star Dendro Sword from Genshin Impact. The current scribe of the Sumeru Akademiya, a man endowed with extraodinary intelligence and talent. He lives free — free from the searching eyes of ordinary people, anyway."
diluc.png,"Diluc, a 5-star Pyro Claymore from Genshin Impact. The tycoon of a winery empire in Mondstadt, unmatched in every possible way."
tartaglia.png,"Tartaglia, a 5-star Hydro Bow from Genshin Impact. No. 11 of The Harbingers, also known as ""Childe"". His name is highly feared on the battlefield."
lyney.png,"Lyney, a 5-star Pyro Bow from Genshin Impact. A famed Fontainian magician who possesses great stage presence as well as gift of the gab. Audiences are enthralled by his exquisite skills, and they hang on to his every clever word."
ganyu.png,"Ganyu, a 5-star Cryo Bow from Genshin Impact. The secretary at Yuehai Pavilion. The blood of the qilin, an illuminated beast, flows within her veins."
freminet.png,"Freminet, a 4-star Cryo Claymore from Genshin Impact. A reserved young man who is well-versed in diving. Beneath his distant, icy demeanor lies a pure heart bereft of all flaws."
